Date,Number
2018-12-30,3
2019-01-01,3
2019-01-02,12
2019-01-03,26
2019-01-04,35
2019-01-05,6
2019-01-06,12
2019-01-07,62
2019-01-08,45
2019-01-09,38
2019-01-10,36
2019-01-11,46
2019-01-12,17
2019-01-13,12
2019-01-14,69
2019-01-15,43
2019-01-16,48
2019-01-17,47
2019-01-18,41
2019-01-19,8
2019-01-20,14
2019-01-21,70
2019-01-22,57
2019-01-23,49
2019-01-24,44
2019-01-25,35
2019-01-26,8
2019-01-27,10
2019-01-28,63
2019-01-29,43
2019-01-30,52
2019-01-31,55
2019-02-01,52
2019-02-02,12
2019-02-03,5
2019-02-04,72
2019-02-05,56
2019-02-06,45
2019-02-07,65
2019-02-08,42
2019-02-09,10
2019-02-10,10
2019-02-11,76
2019-02-12,58
2019-02-13,59
2019-02-14,69
2019-02-15,56
2019-02-16,12
2019-02-17,13
2019-02-18,107
2019-02-19,82
2019-02-20,99
2019-02-21,87
2019-02-22,114
2019-02-23,24
2019-02-24,28
2019-02-25,165
2019-02-26,116
2019-02-27,158
2019-02-28,127
2019-03-01,96
2019-03-02,50
2019-03-03,46
2019-03-04,92
2019-03-05,81
2019-03-06,117
2019-03-07,183
2019-03-08,173
2019-03-09,32
2019-03-10,30
2019-03-11,207
2019-03-12,154
2019-03-13,164
2019-03-14,148
2019-03-15,159
2019-03-16,36
2019-03-17,36
2019-03-18,224
2019-03-19,156
2019-03-20,177
2019-03-21,167
2019-03-22,159
2019-03-23,61
2019-03-24,37
2019-03-25,235
2019-03-26,219
2019-03-27,164
2019-03-28,189
2019-03-29,147
2019-03-30,43
2019-03-31,52
2019-04-01,278
2019-04-02,170
2019-04-03,195
2019-04-04,199
2019-04-05,201
2019-04-06,51
2019-04-07,57
2019-04-08,313
2019-04-09,185
2019-04-10,252
2019-04-11,261
2019-04-12,217
2019-04-13,64
2019-04-14,57
2019-04-15,297
2019-04-16,276
2019-04-17,261
2019-04-18,176
2019-04-19,79
2019-04-20,79
2019-04-21,55
2019-04-22,408
2019-04-23,290
2019-04-24,288
2019-04-25,285
2019-04-26,230
2019-04-27,112
2019-04-28,99
2019-04-29,375
2019-04-30,306
2019-05-01,105
2019-05-02,298
2019-05-03,327
2019-05-04,98
2019-05-05,85
2019-05-06,369
2019-05-07,298
2019-05-08,288
2019-05-09,281
2019-05-10,249
2019-05-11,114
2019-05-12,84
2019-05-13,423
2019-05-14,318
2019-05-15,349
2019-05-16,287
2019-05-17,298
2019-05-18,91
2019-05-19,96
2019-05-20,497
2019-05-21,347
2019-05-22,332
2019-05-23,323
2019-05-24,312
2019-05-25,105
2019-05-26,102
2019-05-27,462
2019-05-28,368
2019-05-29,373
2019-05-30,360
2019-05-31,326
2019-06-01,123
2019-06-02,108
2019-06-03,451
2019-06-04,373
2019-06-05,340
2019-06-06,300
2019-06-07,295
2019-06-08,136
2019-06-09,78
2019-06-10,544
2019-06-11,326
2019-06-12,371
2019-06-13,332
2019-06-14,281
2019-06-15,106
2019-06-16,114
2019-06-17,463
2019-06-18,358
2019-06-19,292
2019-06-20,139
2019-06-21,222
2019-06-22,118
2019-06-23,91
2019-06-24,443
2019-06-25,333
2019-06-26,308
2019-06-27,284
2019-06-28,238
2019-06-29,96
2019-06-30,90
2019-07-01,347
2019-07-02,275
2019-07-03,283
2019-07-04,258
2019-07-05,213
2019-07-06,63
2019-07-07,66
2019-07-08,262
2019-07-09,169
