Year_Week,Number_Cases,week
2018-12-31,,1
2019-01-07,256.0,2
2019-01-14,270.0,3
2019-01-21,273.0,4
2019-01-28,282.0,5
2019-02-04,300.0,6
2019-02-11,343.0,7
2019-02-18,541.0,8
2019-02-25,758.0,9
2019-03-04,708.0,10
2019-03-11,904.0,11
2019-03-18,981.0,12
2019-03-25,1049.0,13
2019-04-01,1151.0,14
2019-04-08,1349.0,15
2019-04-15,1223.0,16
2019-04-22,1712.0,17
2019-04-29,1594.0,18
2019-05-06,1683.0,19
2019-05-13,1862.0,20
2019-05-20,2018.0,21
2019-05-27,2120.0,22
2019-06-03,1973.0,23
2019-06-10,2074.0,24
2019-06-17,1683.0,25
2019-06-24,1792.0,26
2019-07-01,1505.0,27
2019-07-08,1253.0,28
2019-07-15,1318.0,29
2019-07-22,1188.0,30
2019-07-29,918.0,31
2019-08-05,945.0,32
2019-08-12,909.0,33
2019-08-19,880.0,34
2019-08-26,858.0,35
2019-09-02,770.0,36
2019-09-09,761.0,37
2019-09-16,646.0,38
2019-09-23,662.0,39
2019-09-30,641.0,40
2019-10-07,582.0,41
2019-10-14,605.0,42
2019-10-21,603.0,43
2019-10-28,547.0,44
2019-11-04,490.0,45
2019-11-11,419.0,46
2019-11-18,469.0,47
2019-11-25,472.0,48
2019-12-02,445.0,49
2019-12-09,500.0,50
2019-12-16,425.0,51
2019-12-23,421.5,52
2019-12-30,418.0,1
2020-01-01,414.5,1
2020-01-06,411.0,2
2020-01-13,400.0,3
2020-01-20,388.0,4
2020-01-27,416.0,5
2020-02-03,391.0,6
2020-02-10,431.0,7
2020-02-17,678.0,8
2020-02-24,886.0,9
2020-03-02,917.0,10
2020-03-09,1668.0,11
2020-03-16,6547.0,12
2020-03-23,12916.0,13
2020-03-30,14758.0,14
2020-04-06,15074.0,15
2020-04-13,19583.0,16
2020-04-20,23567.0,17
2020-04-27,27885.0,18
2020-05-04,30952.0,19
2020-05-11,33318.0,20
2020-05-18,34147.0,21
2020-05-25,32572.0,22
2020-06-01,32142.0,23
2020-06-08,33062.0,24
2020-06-15,35626.0,25
2020-06-22,35057.0,26
2020-06-29,35502.0,27
2020-07-06,37155.0,28
2020-07-13,36171.0,29
2020-07-20,37355.0,30
2020-07-27,34579.0,31
2020-08-03,31827.0,32
2020-08-10,31996.0,33
2020-08-17,30200.0,34
2020-08-24,29571.0,35
2020-08-31,28182.0,36
2020-09-07,25975.0,37
2020-09-14,25530.0,38
2020-09-21,23095.0,39
2020-09-28,23315.0,40
2020-10-05,22297.0,41
2020-10-12,19837.0,42
2020-10-19,20153.0,43
2020-10-26,19559.0,44
2020-11-02,18687.0,45
2020-11-09,22061.0,46
2020-11-16,25358.0,47
2020-11-23,28602.0,48
2020-11-30,30438.0,49
2020-12-07,31111.0,50
2020-12-14,31691.0,51
2020-12-21,32622.2,52
2020-12-28,33553.4,53
2020-12-28,34484.6,53
2021-01-04,35415.8,1
2021-01-11,36347.0,2
2021-01-18,33828.0,3
2021-01-25,31571.0,4
2021-02-01,32305.0,5
2021-02-08,33350.0,6
2021-02-15,37079.0,7
2021-02-22,45933.0,8
2021-03-01,54198.0,9
2021-03-08,64153.0,10
2021-03-15,72294.0,11
2021-03-22,72424.0,12
2021-03-29,64276.0,13
2021-04-05,62427.0,14
2021-04-12,57434.0,15
2021-04-19,51793.0,16
2021-04-26,51190.0,17
2021-05-03,50515.0,18
2021-05-10,52555.0,19
2021-05-17,57436.0,20
2021-05-24,59401.0,21
2021-05-31,56004.0,22
2021-06-07,56065.0,23
2021-06-14,50103.0,24
2021-06-21,44878.0,25
2021-06-28,39306.0,26
2021-07-05,35547.0,27
2021-07-12,33744.0,28
