Date,Number
2021-01-03,189
2021-01-04,559
2021-01-05,941
2021-01-06,1347
2021-01-07,1823
2021-01-08,2111
2021-01-09,1686
2021-01-10,1931
2021-01-11,4032
2021-01-12,3850
2021-01-13,4169
2021-01-14,4257
2021-01-15,4479
2021-01-16,2955
2021-01-17,2933
2021-01-18,6082
2021-01-19,5031
2021-01-20,4528
2021-01-21,5006
2021-01-22,4545
2021-01-23,2994
2021-01-24,2790
2021-01-25,5754
2021-01-26,5274
2021-01-27,4622
2021-01-28,4622
2021-01-29,4385
2021-01-30,2861
2021-01-31,2820
2021-02-01,5948
2021-02-02,5043
2021-02-03,4903
2021-02-04,4890
2021-02-05,4610
2021-02-06,3017
2021-02-07,2809
2021-02-08,6117
2021-02-09,5350
2021-02-10,5117
2021-02-11,5118
2021-02-12,4913
2021-02-13,3119
2021-02-14,2956
2021-02-15,6187
2021-02-16,5387
2021-02-17,5981
2021-02-18,5852
2021-02-19,5853
2021-02-20,3749
2021-02-21,3613
2021-02-22,7923
2021-02-23,7245
2021-02-24,7173
2021-02-25,7275
2021-02-26,6936
2021-02-27,4644
2021-02-28,4292
2021-03-01,9563
2021-03-02,8403
2021-03-03,8830
2021-03-04,8464
2021-03-05,8546
2021-03-06,5406
2021-03-07,5087
2021-03-08,11537
2021-03-09,9866
2021-03-10,10073
2021-03-11,9872
2021-03-12,9987
2021-03-13,6830
2021-03-14,6134
2021-03-15,13796
2021-03-16,11714
2021-03-17,11166
2021-03-18,11413
2021-03-19,10507
2021-03-20,7121
2021-03-21,6740
2021-03-22,13857
2021-03-23,10713
2021-03-24,12053
2021-03-25,11551
2021-03-26,11297
2021-03-27,6937
2021-03-28,6469
2021-03-29,13390
2021-03-30,12214
2021-03-31,10830
2021-04-01,10044
2021-04-02,6189
2021-04-03,6270
2021-04-04,5698
2021-04-05,12945
2021-04-06,10883
2021-04-07,9969
2021-04-08,9575
2021-04-09,8870
2021-04-10,5455
2021-04-11,5107
2021-04-12,11206
2021-04-13,9579
2021-04-14,9333
2021-04-15,9072
2021-04-16,8577
2021-04-17,5261
2021-04-18,4783
2021-04-19,10403
2021-04-20,9033
2021-04-21,5669
2021-04-22,9179
2021-04-23,7988
2021-04-24,5012
2021-04-25,4800
2021-04-26,10290
2021-04-27,8599
2021-04-28,8031
2021-04-29,7725
2021-04-30,7622
2021-05-01,4684
2021-05-02,4465
2021-05-03,9576
2021-05-04,8222
2021-05-05,8143
2021-05-06,8038
2021-05-07,7724
2021-05-08,4906
2021-05-09,4260
2021-05-10,10139
2021-05-11,8616
2021-05-12,8122
2021-05-13,8145
2021-05-14,7779
2021-05-15,5300
2021-05-16,4726
2021-05-17,10759
2021-05-18,9382
2021-05-19,8678
2021-05-20,9164
2021-05-21,8928
2021-05-22,5549
2021-05-23,5319
2021-05-24,11017
2021-05-25,10136
2021-05-26,9240
2021-05-27,9509
2021-05-28,8889
2021-05-29,5713
2021-05-30,5365
2021-05-31,11224
2021-06-01,9543
2021-06-02,9110
2021-06-03,6234
2021-06-04,8980
2021-06-05,5871
2021-06-06,5475
2021-06-07,11116
2021-06-08,9752
2021-06-09,8989
2021-06-10,8878
2021-06-11,8182
2021-06-12,4953
2021-06-13,4655
2021-06-14,9999
2021-06-15,8423
2021-06-16,8253
2021-06-17,7692
2021-06-18,7221
2021-06-19,4569
2021-06-20,4324
2021-06-21,9371
2021-06-22,7571
2021-06-23,7154
2021-06-24,6511
2021-06-25,6520
2021-06-26,4228
2021-06-27,3862
2021-06-28,8159
2021-06-29,6616
2021-06-30,6404
2021-07-01,6155
2021-07-02,5475
2021-07-03,3556
2021-07-04,3158
2021-07-05,7221
2021-07-06,6120
2021-07-07,5680
2021-07-08,5411
2021-07-09,4818
2021-07-10,3337
2021-07-11,3120
2021-07-12,6890
2021-07-13,5614
2021-07-14,5414
2021-07-15,5349
2021-07-16,4989
2021-07-17,2945
2021-07-18,2657
2021-07-19,6157
2021-07-20,4994
2021-07-21,4535
2021-07-22,4418
2021-07-23,4466
2021-07-24,2743
2021-07-25,2611
2021-07-26,5491
2021-07-27,4874
2021-07-28,4275
2021-07-29,3792
2021-07-30,3804
2021-07-31,2260
2021-08-01,2329
2021-08-02,4841
2021-08-03,4189
2021-08-04,3769
2021-08-05,3753
2021-08-06,3708
2021-08-07,2156
2021-08-08,2056
2021-08-09,4957
2021-08-10,3982
2021-08-11,3761
2021-08-12,3664
2021-08-13,3485
2021-08-14,2035
2021-08-15,2003
2021-08-16,4571
2021-08-17,3800
2021-08-18,3563
2021-08-19,3454
2021-08-20,3310
2021-08-21,1864
2021-08-22,1746
2021-08-23,4031
2021-08-24,3506
2021-08-25,3357
