Data,Numero de casos
2021-01-11,26675
2021-01-18,30976
2021-01-25,30338
2021-02-01,31220
2021-02-08,32690
2021-02-15,36622
2021-02-22,45488
2021-03-01,54299
2021-03-08,64299
2021-03-15,72457
2021-03-22,72877
2021-03-29,64635
2021-04-05,62804
2021-04-12,57811
2021-04-19,52084
2021-04-26,51416
2021-05-03,50869
2021-05-10,52827
2021-05-17,57779
2021-05-24,59869
2021-05-31,56437
2021-06-07,56525
2021-06-14,50481
2021-06-21,45217
2021-06-28,39523
2021-07-05,35707
2021-07-12,33858
2021-07-19,29924
2021-07-26,26825
2021-08-02,24472
2021-08-09,23887
2021-08-16,22308
2021-08-23,20092
2021-08-30,18001
2021-09-06,16535
2021-09-13,16375
2021-09-20,15486
2021-09-27,14878
2021-10-04,13757
2021-10-11,11796
2021-10-18,11395
2021-10-25,11527
2021-11-01,10637
2021-11-08,10420
2021-11-15,10359
2021-11-22,10516
2021-11-29,10493
2021-12-06,10079
2021-12-13,12028
2021-12-20,13683
2021-12-27,15205
2022-01-03,11449
2022-01-10,25109
2022-01-17,32242
2022-01-24,33101
2022-01-31,27679
2022-02-07,22128
2022-02-14,17491
2022-02-21,13835
2022-02-28,10361
2022-03-07,9621
2022-03-14,8869
2022-03-21,8248
2022-03-28,7875
2022-04-04,7302
2022-04-11,6845
2022-04-18,7279
2022-04-25,8219
2022-05-02,7619
2022-05-09,8619
2022-05-16,9714
2022-05-23,11220
2022-05-30,12523
2022-06-06,13255
2022-06-13,12789
2022-06-20,15094
2022-06-27,14902
2022-07-04,14175
2022-07-11,12874
2022-07-18,10575
2022-07-25,8555
2022-08-01,7501
2022-08-08,7014
2022-08-15,6701
2022-08-22,6299
2022-08-29,5834
2022-09-05,5032
2022-09-12,5038
2022-09-19,5031
2022-09-26,4908
2022-10-03,4831
2022-10-10,4388
2022-10-17,4862
2022-10-24,4655
2022-10-31,4431
2022-11-07,6148
2022-11-14,8093
2022-11-21,9497
2022-11-28,9584
2022-12-05,9177
2022-12-12,9375
2022-12-19,8108
2022-12-26,7056
2023-01-02,3050
2023-01-09,4455
2023-01-16,3987
2023-01-23,3801
2023-01-30,3804
2023-02-06,4468
2023-02-13,5497
2023-02-20,5479
2023-02-27,5995
2023-03-06,6176
2023-03-13,6546
2023-03-20,7070
2023-03-27,7355
2023-04-03,6367
2023-04-10,7587
2023-04-17,7010
2023-04-24,7846
2023-05-01,7082
2023-05-08,7598
2023-05-15,8051
2023-05-22,8228
2023-05-29,7764
2023-06-05,6595
2023-06-12,6958
2023-06-19,6517
2023-06-26,6339
2023-07-03,5800
2023-07-10,5714
2023-07-17,5017
2023-07-24,4433
2023-07-31,4255
2023-08-07,4356
2023-08-14,4531
2023-08-21,4635
2023-08-28,4305
2023-09-04,3935
2023-09-11,4492
2023-09-18,4523
2023-09-25,4484
2023-10-02,4490
2023-10-09,4289
2023-10-16,4878
2023-10-23,5182
2023-10-30,4420
2023-11-06,4914
2023-11-13,4393
2023-11-20,4015
2023-11-27,3782
2023-12-04,3692
2023-12-11,3835
2023-12-18,3339
2023-12-25,2936
2024-01-01,1551
2024-01-08,2596
2024-01-15,2669
2024-01-22,2662
2024-01-29,2934
2024-02-05,3249
2024-02-12,3534
2024-02-19,4661
2024-02-26,5189
2024-03-04,5455
2024-03-11,5511
2024-03-18,5599
2024-03-25,4791
2024-04-01,6335
2024-04-08,6795
2024-04-15,7051
2024-04-22,7758
2024-04-29,7396
2024-05-06,7141
2024-05-13,7321
2024-05-20,7278
2024-05-27,6106
2024-06-03,7020
2024-06-10,6821
2024-06-17,6836
2024-06-24,6343
2024-07-01,5953
2024-07-08,5528
2024-07-15,5103
2024-07-22,4870
2024-07-29,4804
2024-08-05,4820
2024-08-12,5031
2024-08-19,5860
2024-08-26,5600
2024-09-02,5700
2024-09-09,5614
2024-09-16,5137
2024-09-23,5026
2024-09-30,4644
2024-10-07,4432
2024-10-14,4375
2024-10-21,4487
