,index,ID,Date,PatchTST-median,PatchTST-lo-80,PatchTST-hi-80
0,0,numero,2024-05-12,6923.636,6520.1455,7697.7607
1,1,numero,2024-05-19,6792.26,5964.2354,8171.5503
2,2,numero,2024-05-26,6397.437,5466.615,8326.913
3,3,numero,2024-06-02,6099.035,5020.871,8367.544
4,4,numero,2024-06-09,5819.455,4758.236,8319.303
5,5,numero,2024-06-16,5744.9175,4611.6094,7868.7334
6,6,numero,2024-06-23,5757.529,4527.1445,7414.152
7,7,numero,2024-06-30,5568.743,4471.988,7066.515
8,8,numero,2024-07-07,5473.655,4542.513,6696.0645
9,9,numero,2024-07-14,5376.636,4442.2915,6459.6914
10,10,numero,2024-07-21,5207.2666,4351.531,6110.5986
11,11,numero,2024-07-28,5097.2134,4282.952,6025.141
12,12,numero,2024-08-04,4890.479,4250.573,5830.4463
13,13,numero,2024-08-11,4868.3926,4096.9976,5756.542
14,14,numero,2024-08-18,4718.8057,3963.8713,6106.4106
15,15,numero,2024-08-25,4664.1284,4061.8103,6142.7466
16,16,numero,2024-09-01,4624.311,4036.7075,6065.6143
17,17,numero,2024-09-08,4578.8496,3946.0212,5987.7974
18,18,numero,2024-09-15,4531.332,3930.614,5765.1406
19,19,numero,2024-09-22,4480.7866,3874.1423,5715.821
20,20,numero,2024-09-29,4497.3604,3836.1023,5579.755
21,21,numero,2024-10-06,4467.2993,3769.432,5555.527
22,22,numero,2024-10-13,4396.49,3652.249,5250.68
23,23,numero,2024-10-20,4255.829,3578.1882,5027.385
24,24,numero,2024-10-27,4106.105,3409.9158,4874.8677
25,25,numero,2024-11-03,3938.0273,3359.0986,4654.279
26,26,numero,2024-11-10,3726.1677,3254.597,4345.3994
27,27,numero,2024-11-17,3624.0105,3159.6587,4156.806
28,28,numero,2024-11-24,3496.891,2946.4812,4006.5564
29,29,numero,2024-12-01,3463.3037,2904.6743,3970.491
30,30,numero,2024-12-08,3431.191,2766.0522,3825.027
31,31,numero,2024-12-15,3491.7046,2828.2446,3937.4927
32,32,numero,2024-12-22,3506.1355,2908.9387,4151.9033
33,33,numero,2024-12-29,3508.9524,2983.7668,4274.4956
34,34,numero,2025-01-05,3665.1372,2959.9556,4520.5107
35,35,numero,2025-01-12,3727.5159,3028.5884,4655.7295
36,36,numero,2025-01-19,3789.3752,3150.768,4905.296
37,37,numero,2025-01-26,3888.7874,3218.276,4964.5337
38,38,numero,2025-02-02,3967.474,3234.361,5034.0845
39,39,numero,2025-02-09,4111.3774,3320.6868,5163.062
40,40,numero,2025-02-16,4253.8486,3492.4263,5236.9478
41,41,numero,2025-02-23,4365.6045,3694.1177,5214.91
